run_label,gene,canonical_symbol,tier,subcategory,evidence_type,microarray_comparable,found,probe_id,gene_symbol_in_run,rf_importance,selection_freq,abs_fold_change,combined_score,median_test_auc,sd_test_auc,notes
univariate_ann_ranking_top100_run,CXCR1,CXCR1,2,chemokine_receptor,mechanistic,Y,Y,11751323_a_at,CXCR1,,,,0.963,0.963,0.1514,Neutrophil IL-8 receptor
univariate_ann_ranking_top100_run,FPR1,FPR1,2,neutrophil_chemoattractant,mechanistic,Y,Y,11758095_s_at,FPR1,,,,0.963,0.963,0.1602,Formyl peptide receptor; neutrophil chemoattractant
univariate_ann_ranking_top100_run,RUNX2,RUNX2,2,osteoblast_TF,mechanistic,Y,Y,11725180_a_at,RUNX2,,,,0.963,0.963,0.0483,Osteoblast master transcription factor
univariate_ann_ranking_top100_run,FCGR2A,FCGR2A,2,Fc_receptor,mechanistic,Y,Y,11724771_x_at,FCGR2A /// FCGR2C,,,,0.8889,0.8889,0.093,Fc gamma receptor IIA; immune signalling
univariate_ann_ranking_top100_run,MAPK1,MAPK1,2,MAPK_signalling,mechanistic,Y,Y,11715843_at,MAPK1,,,,0.8148,0.8148,0.1396,ERK2; glucocorticoid-related signalling hub
univariate_ann_ranking_top100_run,ASXL1,ASXL1,2,epigenetic_regulator,mechanistic,Y,N,,,,,,,,,Epigenetic regulator; immune/interaction-network
univariate_ann_ranking_top100_run,BNIP3L,BNIP3L,2,apoptosis_mitophagy,mechanistic,Y,N,,,,,,,,,Mitophagy/apoptosis; immune-network hub
univariate_ann_ranking_top100_run,HEMGN,HEMGN,2,erythroid_TF,mechanistic,Y,N,,,,,,,,,Erythroid-specific nuclear factor
univariate_ann_ranking_top100_run,VEGFA,VEGF,2,angiogenesis,mechanistic,N,N,,,,,,,,,VEGF-A; angiogenesis; predominantly endothelial context
univariate_ann_ranking_top100_run,VEGFC,VEGFC,2,angiogenesis,mechanistic,N,N,,,,,,,,,VEGF-C; lymphangiogenesis/angiogenesis
univariate_ann_ranking_top100_run,IGFBP3,IGFBP3,2,growth_factor_binding,mechanistic,N,N,,,,,,,,,IGF-binding protein 3; hypoxia/vascular
univariate_ann_ranking_top100_run,ACE,ACE,2,vascular_tone,mechanistic,N,N,,,,,,,,,Angiotensin-converting enzyme; vascular tone
univariate_ann_ranking_top100_run,VWF,VWF,2,coagulation,mechanistic,N,N,,,,,,,,,Von Willebrand factor; endothelial/coagulation
univariate_ann_ranking_top100_run,PDGFB,PDGFB,2,growth_factor,mechanistic,N,N,,,,,,,,,Platelet-derived growth factor B
univariate_ann_ranking_top100_run,ANGPT1,ANGPT1,2,angiogenesis,mechanistic,N,N,,,,,,,,,Angiopoietin-1; vessel stability
univariate_ann_ranking_top100_run,NOS3,eNOS,2,nitric_oxide,mechanistic,N,N,,,,,,,,,Endothelial nitric oxide synthase; vascular tone
univariate_ann_ranking_top100_run,EDN1,ET1,2,vasoconstriction,mechanistic,N,N,,,,,,,,,Endothelin-1; vasoconstriction
univariate_ann_ranking_top100_run,SERPINE1,PAI1,2,fibrinolysis,mechanistic,N,N,,,,,,,,,PAI-1; plasminogen activator inhibitor 1
univariate_ann_ranking_top100_run,PPARG,PPARG,2,adipogenesis_TF,mechanistic,Y,N,,,,,,,,,PPARgamma; adipogenesis master TF; steroid-induced fat shift
univariate_ann_ranking_top100_run,COL2A1,COL2A1,2,cartilage_ECM,mechanistic,N,N,,,,,,,,,Type II collagen; cartilage; more tissue than blood
univariate_ann_ranking_top100_run,SMAD3,SMAD3,2,TGF_signalling,mechanistic,Y,N,,,,,,,,,TGF-beta signalling effector
univariate_ann_ranking_top100_run,BMP2,BMP2,2,bone_morphogen,mechanistic,N,N,,,,,,,,,Bone morphogenetic protein 2; osteogenesis
univariate_ann_ranking_top100_run,BCL2,BCL2,2,apoptosis,mechanistic,Y,N,,,,,,,,,Anti-apoptotic; osteogenesis/apoptosis balance
univariate_ann_ranking_top100_run,BAX,BAX,2,apoptosis,mechanistic,Y,N,,,,,,,,,Pro-apoptotic; apoptosis/necrosis balance
univariate_ann_ranking_top100_run,BCL2L1,BCL2L1,2,apoptosis,mechanistic,Y,N,,,,,,,,,BCL-XL; anti-apoptotic
univariate_ann_ranking_top100_run,TNFSF10,TNFSF10,2,apoptosis_TRAIL,mechanistic,Y,N,,,,,,,,,TRAIL; apoptosis pathway ligand
univariate_ann_ranking_top100_run,PTEN,PTEN,2,tumor_suppressor,mechanistic,Y,N,,,,,,,,,PI3K/AKT pathway regulator
univariate_ann_ranking_top100_run,CXCL12,SDF1,2,chemokine,mechanistic,N,N,,,,,,,,,SDF-1; progenitor/EPC homing chemokine
univariate_ann_ranking_top100_run,CXCR4,CXCR4,2,chemokine_receptor,mechanistic,Y,N,,,,,,,,,SDF-1 receptor; progenitor homing
univariate_ann_ranking_top100_run,CXCR7,ACKR3,2,chemokine_receptor,mechanistic,N,N,,,,,,,,,Atypical chemokine receptor 3 (CXCR7)
univariate_ann_ranking_top100_run,KDR,KDR,2,VEGF_receptor,mechanistic,N,N,,,,,,,,,VEGFR2; endothelial VEGF receptor
univariate_ann_ranking_top100_run,CD34,CD34,2,progenitor_marker,mechanistic,N,N,,,,,,,,,Haematopoietic progenitor/endothelial marker
univariate_ann_ranking_top100_run,PROM1,CD133,2,progenitor_marker,mechanistic,N,N,,,,,,,,,CD133; haematopoietic progenitor marker
univariate_ann_ranking_top100_run,MCAM,CD146,2,endothelial_marker,mechanistic,N,N,,,,,,,,,CD146; endothelial/MSC marker
univariate_ann_ranking_top100_run,C3,C3,3,complement,proteomic,N,N,,,,,,,,,Complement C3; lower in SONFH serum (proteomics)
univariate_ann_ranking_top100_run,C4A,C4A,3,complement,proteomic,N,N,,,,,,,,,Complement C4A; lower in SONFH; probes ambiguous with C4B
univariate_ann_ranking_top100_run,ITIH4,ITIH4,3,acute_phase,proteomic,N,N,,,,,,,,,Inter-alpha-trypsin inhibitor H4; lower in SONFH
univariate_ann_ranking_top100_run,A2M,A2M,3,protease_inhibitor,proteomic,N,N,,,,,,,,,Alpha-2-macroglobulin; lower in SONFH serum
univariate_ann_ranking_top100_run,SERPINC1,SERPINC1,3,coagulation,proteomic,N,N,,,,,,,,,Antithrombin III; lower in SONFH serum
univariate_ann_ranking_top100_run,APOA4,APOA4,3,lipoprotein,proteomic,N,N,,,,,,,,,Apolipoprotein A-IV; lower in SONFH serum
univariate_ann_ranking_top100_run,GSN,GSN,3,actin_remodelling,proteomic,N,N,,,,,,,,,Gelsolin; lower in SONFH serum (proteomics)
univariate_ann_ranking_top100_run,COL5A2,COL5A2,3,ECM_collagen,proteomic,N,N,,,,,,,,,Type V collagen alpha-2; lower in SONFH
univariate_ann_ranking_top100_run,BGLAP,BGLAP,3,bone_marker,proteomic,N,N,,,,,,,,,Osteocalcin; bone formation marker
univariate_ann_ranking_top100_run,HSD11B2,HSD11B2,3,steroid_metabolism,proteomic,Y,N,,,,,,,,,Steroid 11-beta-dehydrogenase 2; lower in SONFH
univariate_ann_ranking_top100_run,ABCB1,ABCB1,3,drug_transporter,proteomic,Y,N,,,,,,,,,P-glycoprotein/MDR1; lower in SONFH; also Tier 4 SNP
univariate_ann_ranking_top100_run,CFH,CFH,3,complement,proteomic,N,N,,,,,,,,,Complement factor H; higher in SONFH serum
univariate_ann_ranking_top100_run,SAA1,SAA,3,acute_phase,proteomic,N,N,,,,,,,,,Serum amyloid A1; higher in SONFH serum
univariate_ann_ranking_top100_run,S100A9,S100A9,3,inflammatory,proteomic,Y,N,,,,,,,,,Calprotectin subunit S100A9; higher in SONFH; may show as transcript
univariate_ann_ranking_top100_run,ACP5,ACP5,3,bone_resorption,proteomic,Y,N,,,,,,,,,TRAP5b; osteoclast marker; higher in SONFH
univariate_ann_ranking_top100_run,IL34,IL34,3,cytokine,proteomic,Y,N,,,,,,,,,CSF1R ligand; higher in SONFH serum; may show as transcript
univariate_ann_ranking_top100_run,FGA,FGA,3,coagulation,proteomic,N,N,,,,,,,,,Fibrinogen alpha chain; higher in SONFH serum
univariate_ann_ranking_top100_run,HSD11B1,HSD11B1,3,steroid_metabolism,proteomic,Y,N,,,,,,,,,11-beta-HSD1; steroid metabolism; higher in SONFH
univariate_ann_ranking_top100_run,KCNQ1,KCNQ1,3,ion_channel,proteomic,N,N,,,,,,,,,Potassium channel KCNQ1; higher in SONFH (proteomics)
univariate_ann_ranking_top100_run,CACNA1E,CACNA1E,3,ion_channel,proteomic,N,N,,,,,,,,,Calcium channel alpha-1E; higher in SONFH (proteomics)
univariate_ann_ranking_top100_run,SCN5A,SCN5A,3,ion_channel,proteomic,N,N,,,,,,,,,Sodium channel SCN5A; higher in SONFH (proteomics)
univariate_ann_ranking_top100_run,MMP2,MMP2,4,matrix_metalloproteinase,snp_genomics,Y,N,,,,,,,,,MMP-2; susceptibility SNP; ECM remodelling
univariate_ann_ranking_top100_run,MMP8,MMP8,4,matrix_metalloproteinase,snp_genomics,Y,N,,,,,,,,,MMP-8; susceptibility SNP; neutrophil collagenase
univariate_ann_ranking_top100_run,MMP9,MMP9,4,matrix_metalloproteinase,snp_genomics,Y,N,,,,,,,,,MMP-9; susceptibility SNP
univariate_ann_ranking_top100_run,MMP10,MMP10,4,matrix_metalloproteinase,snp_genomics,Y,N,,,,,,,,,MMP-10; susceptibility SNP
univariate_ann_ranking_top100_run,MMP14,MMP14,4,matrix_metalloproteinase,snp_genomics,Y,N,,,,,,,,,MT1-MMP; susceptibility SNP
univariate_ann_ranking_top100_run,TIMP4,TIMP4,4,MMP_inhibitor,snp_genomics,Y,N,,,,,,,,,Tissue inhibitor of metalloproteinases 4
univariate_ann_ranking_top100_run,RETN,RETN,4,adipokine,snp_genomics,Y,N,,,,,,,,,Resistin; adipokine; susceptibility SNP
univariate_ann_ranking_top100_run,APOA5,APOA5,4,lipoprotein,snp_genomics,N,N,,,,,,,,,Apolipoprotein A-V; lipid metabolism susceptibility
univariate_ann_ranking_top100_run,APOE,APOE,4,lipoprotein,snp_genomics,N,N,,,,,,,,,Apolipoprotein E; lipid metabolism susceptibility
univariate_ann_ranking_top100_run,CR2,CR2,4,complement_receptor,snp_genomics,Y,N,,,,,,,,,Complement receptor 2; susceptibility genomics
univariate_ann_ranking_top100_run,LINC-PINT,LINC-PINT,4,lncRNA,noncoding_RNA,N,N,,,,,,,,,Long intergenic non-coding RNA; SONFH susceptibility locus
univariate_ann_ranking_top100_run,MIR3142HG,MIR3142HG,4,lncRNA,noncoding_RNA,N,N,,,,,,,,,lncRNA host gene; SONFH susceptibility locus
univariate_ann_ranking_top100_run,GSK3B,GSK3B,separate,GSK_signalling,mechanistic,N,Y,11754361_s_at,GSK3B,,,,0.963,0.963,0.0892,GSK-3beta; mechanistic signalling
univariate_ann_ranking_top100_run,HIF1AN,FIH1,separate,HIF_regulator,mechanistic,N,Y,11721870_s_at,HIF1AN,,,,0.8889,0.8889,0.1028,Factor inhibiting HIF-1; mechanistic context
univariate_ann_ranking_top100_run,AKT1,AKT1,separate,PI3K_AKT,mechanistic,N,Y,11716087_s_at,AKT1,,,,0.8148,0.8148,0.1159,AKT kinase; mechanistic signalling; Discussion context
univariate_ann_ranking_top100_run,PTGS2,COX2,separate,prostaglandin,mechanistic,N,Y,11724037_at,PTGS2,,,,0.8148,0.8148,0.1245,COX-2; prostaglandin synthesis; Discussion context
univariate_ann_ranking_top100_run,RAB40C,RAB40C,separate,vesicle_trafficking,mechanistic,N,N,,,,,,,,,Alcohol-induced ONFH only; different etiology — do not mix with SONFH list
univariate_ann_ranking_top100_run,RASA1,RASA1,separate,RAS_signalling,mechanistic,N,N,,,,,,,,,RAS GAP; endothelial/mechanistic; animal/cell-heavy
univariate_ann_ranking_top100_run,NFE2L2,NFE2L2,separate,antioxidant_TF,mechanistic,N,N,,,,,,,,,NRF2; mechanistic context; useful for Discussion only
univariate_ann_ranking_top100_run,HIF1A,HIF1A,separate,hypoxia_TF,mechanistic,N,N,,,,,,,,,HIF-1alpha; mechanistic; predominantly animal/cell work
univariate_ann_ranking_top100_run,MTOR,MTOR,separate,mTOR_signalling,mechanistic,N,N,,,,,,,,,mTOR; mechanistic signalling; Discussion context
univariate_ann_ranking_top100_run,STK11,LKB1,separate,AMPK_upstream,mechanistic,N,N,,,,,,,,,LKB1; AMPK pathway upstream; mechanistic
univariate_ann_ranking_top100_run,FYN,FYN,separate,tyrosine_kinase,mechanistic,N,N,,,,,,,,,Fyn kinase; mechanistic context
univariate_ann_ranking_top100_run,PTGES,PTGES,separate,prostaglandin,mechanistic,N,N,,,,,,,,,Prostaglandin E synthase; mechanistic
univariate_ann_ranking_top100_run,PTGER4,EP4,separate,prostaglandin_receptor,mechanistic,N,N,,,,,,,,,EP4 receptor; mechanistic context
univariate_ann_ranking_top100_run,MIR335,MIR-335,separate,miRNA,noncoding_RNA,N,N,,,,,,,,,miR-335; non-coding RNA; animal/cell context only
univariate_ann_ranking_top100_run,MIR132,MIR-132-3p,separate,miRNA,noncoding_RNA,N,N,,,,,,,,,miR-132-3p; non-coding RNA; animal/cell context only
univariate_ann_ranking_top100_run,MIRLET7C,let-7c,separate,miRNA,noncoding_RNA,N,N,,,,,,,,,let-7c; non-coding RNA; animal/cell context only
univariate_ann_ranking_top100_run,CDR1AS,CircCDR1as,separate,circRNA,noncoding_RNA,N,N,,,,,,,,,Circular RNA CDR1as; non-coding; animal/cell context only
